LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;cholesterol;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;wêglowodany;wêglowodany;wêglowodany;wêglowodany;% energii z:;% energii z:;% energii z:
LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sód;potas;wapñ;fosfor;magnez;¿elazo;cynk;miedŸ;mangan;ek.retinolu;retinol;beta-karoten;D;E;tiamina;ryboflawina;niacyna; B6;foliany; B12;C;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;ogó³em;C 14:1;C 15:1;C 16:1;C 17:1;C 18:1;C 20:1;C 22:1;ogó³em;C 18:2;C 18:3;C 18:4;C 20:3;C 20:4;C 20:5;C 22:5;C 22:6;ogó³em;;izoleucyna;leucyna;lizyna;metionina;cystyna;fenylo-alanina;tyrozyna;treonina;tryptofan;walina;arginina;histydyna;alanina;kwas asparaginowy;kwas glutaminowy;glicyna;prolina;seryna;sacharoza;laktoza;skrobia;b³onnik pokarmowy;bia³ka;t³uszczu;wêglo-wodanów
LP;Numer kodowy ;Nazwa produktu;g;KJ;kcal;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mcg;mcg;mcg;mcg;mg;mg;mg;mg;mg;mcg;mcg;mg;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;g;g;g;g;;;
256;5.1.2.003;"Margaryna ""Kama""";0;1665;398;54,8;0;0;0;45;0;0,2;119;0;0;0;0;0;0;0,01;0;600;600;0;5;14;0;0;0;0;0;0;0;0;0,03;0,27;0,27;2,98;1,23;0;5,71;0;2,08;0,18;12,88;0;0;0,04;0;20,37;0,37;0,31;21,09;6,56;2,42;0;0;0;0;0;0;8,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
257;5.1.2.004;"Margaryna ""Mini Light""";0;1850;442;50;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;600;600;0;5;5,54;0;0;0;0;0;0;0;0;0;0,14;0,12;1,28;0,59;0;9,55;0;3,55;0,05;15,34;0;0;0;0;9,95;0;0;9,95;20,64;1,85;0;0;0;0;0;0;22,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
258;5.1.2.005;Margaryna mleczna;0;2972;710;19,1;0,3;0,3;0;80;0,4;0,2;119;10;9;6;1;0,1;0,02;0,01;0,01;600;600;0;5;15,65;0,003;0,013;0,01;0;0;0;0;0;0;0,18;0,15;1,67;0,78;0;10,61;0;10,37;0,22;24,06;0;0;0,05;0;41,19;0,33;0,01;41,58;9,41;1,3;0;0;0;0;0;0;10,71;1;16;27;25;7;3;14;13;12;4;20;9;8;9;21;62;5;29;16;0;0,4;0;0;0;100;0
259;5.1.2.006;"Margaryna ""Palma""";0;2972;710;19,1;0,3;0,3;0;80;0,4;0,2;119;10;9;6;1;0,1;0,02;0,01;0,01;900;900;0;7,5;14;0,003;0,013;0,01;0;0;0;0;0;0;0,26;0,22;2,39;0,75;0;13,41;0;6,23;0,16;23,46;0;0;0;0;34,62;0;0,02;36,5;16,3;0,81;0;0;0;0;0;0;17,27;1;16;27;25;7;3;14;13;12;4;20;9;8;9;21;62;5;29;16;0;0,4;0;0;0;100;0
260;5.1.2.007;"Margaryna ""Rama""";0;2599;621;29,4;0,1;0,1;0;70;0,4;0,1;122;10;5;3;0;0;0;0;0;900;900;0;7,5;9;0,003;0,01;0,01;0;0;0;0;0;0,02;0,39;0,37;3,7;1,6;0;5,41;0;11,48;0,21;23,44;0;0;0,04;0;24,47;0,28;0,12;24,91;16,03;2,5;0;0;0;0;0;0;18,53;0;7;10;8;2;2;3;3;8;2;7;3;2;5;12;17;2;5;5;0;0,4;0;0;0;100;0
261;5.1.2.008;Margaryna s³oneczna;0;2972;710;19,1;0,3;0,3;0;80;0,4;0,2;119;7;5;4;1;0,1;0,02;0;0;600;600;0;5;31,51;0,003;0,013;0,01;0;0;0;0;0;0;0,21;0,16;1,83;0,77;0;11,33;0;5,26;0,01;19,87;0;0;0;0;17,17;0,01;0;17,18;39,26;0,26;0;0;0;0;0;0;39,52;1;16;27;25;7;3;14;13;12;4;20;9;8;9;21;62;5;29;16;0;0,4;0;0;0;100;0
262;5.1.2.009;"Margaryna ""Œniadaniowa""";0;2234;534;39,2;0,3;0,3;0;60;0,5;0;3;9;8;6;1;0;0,02;0;0;600;600;0;5;14;0,002;0,01;0,01;0;0;0;0;0;0;0,13;0,09;1,01;0,43;0;8,5;0;4,1;0,07;14,39;0;0;0;0;25,12;0;0,02;25,14;15,26;2,2;0;0;0;0;0;0;17,46;1;16;27;25;7;3;14;13;13;4;20;9;8;9;21;62;5;29;16;0;0,4;0;0;0;100;0
263;5.1.2.010;"Margaryna ""Tina""";0;1665;398;55;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;600;600;0;5;30,51;0;0;0;0;0;0;0;0;0;0,11;0,12;1,97;0,78;0;5,45;0;2,74;0,07;11,48;0;0;0,02;0;11,68;0,04;0;11,74;19,5;0,28;0;0;0;0;0;0;19,78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
264;5.1.2.011;Margaryna zwyk³a;0;2972;710;19,1;0,3;0,3;0;80;0,4;0,2;122;10;9;6;1;0,1;0,02;0,01;0,01;600;600;0;5;13,7;0,003;0,013;0,01;0;0;0;0;0;0;0,02;0,03;0,16;0,11;0;9,02;0;7,16;0,25;16,91;0;0;0;0;47,51;0,07;0,09;47,67;10,6;0,88;0;0;0;0;0;0;11,48;1;16;27;25;7;3;14;13;12;4;20;9;8;9;21;62;5;29;16;0;0,4;0;0;0;100;0
265;5.1.2.012;Mas³o roœlinne kubkowe;0;2787;666;24,1;0,3;0,3;0;75;0,4;0,2;122;10;8;5;1;0,1;0,02;0,01;0,01;900;900;0;5;23,93;0,003;0,013;0,01;0;0;0;0;0;0;0,1;0,1;1,04;0,6;0;9,03;0;3,65;0,27;15,01;0;0;0,01;0;36,62;0;0,2;37,19;17,6;1,83;0;0;0;0;0;0;19,43;1;16;27;25;7;3;14;13;12;4;20;9;8;9;21;62;5;29;16;0;0,4;0;0;0;100;0
266;5.1.2.013;Mas³o roœlinne, kostka;0;2972;710;19,1;0,3;0,3;0;80;0,4;0,2;122;10;9;6;1;0,1;0,02;0;0;900;900;0;5;23,93;0,003;0,013;0,01;0;0;0;0;0;0;0,23;0,22;1,12;0,94;0;11,94;0;4,34;0,27;20,12;0;0;0;0;37,84;0,3;0,12;38,26;17,07;1,64;0;0;0;0;0;0;18,71;1;16;27;25;7;3;14;13;12;4;20;9;8;9;21;62;5;29;16;0;0,4;0;0;0;100;0
267;5.1.2.014;"Mas³o roœlinne ""Nova""";0;1850;442;49,9;0;0;0;50;0;0,1;119;0;0;0;0;0;0;0;0;600;600;0;5;15;0;0;0;0;0;0;0;0;0,07;0,08;0;1,44;0,62;0;6,52;0;2,79;0,18;12,03;0;0;0,04;0;19,28;0,32;0,28;19,95;13,85;1,83;0;0;0;0;0;0;15,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
268;5.2.1.001;Mas³o extra;0;3076;735;16;0,7;0,7;0;82,5;0,7;0,1;9;25;16;12;1;0,1;0,08;0,01;0;814;751;380;0,76;2,52;0,007;0,035;0,02;0,01;3;0;0;0,28;0,54;0,55;1,66;2,37;9,73;1,24;28,87;0,54;8,72;0,01;54,72;0,69;0;1,7;0,15;19,79;0;0;22,41;0,88;0,28;0;0;0;0;0;0;1,16;248;37;62;58;17;6;32;31;29;9;47;22;18;22;50;144;13;67;38;0;0,6;0;0;0;100;0
269;5.2.1.002;Mas³o œmietankowe;0;2757;659;24;1,1;1,1;0;73,5;1,1;0,3;6;15;12;12;1;0,1;0,07;0,01;0;724;668;336;0,72;2,32;0,012;0,035;0,04;0,01;3;0;0;0,18;0,35;0,41;1,36;2,08;9,15;1,05;27,72;0,61;7,01;0,06;50,28;0,7;0,24;1,68;0,17;15,52;0;0;18,33;0,98;0,22;0;0;0;0;0;0;1,2;220;57;96;89;27;10;49;47;44;14;73;34;27;34;77;222;19;102;77;0;1;0;0;1;98;1
270;5.2.1.003;S³onina;6;3134;749;8;2,3;2,3;0;83,7;0;0,1;22;25;1;23;2;0,3;0,06;0,01;0;0;0;0;0,56;2,2;0,404;0,132;2,16;0,33;0;0,56;0;0;0;0;0;0,07;1,19;0,19;16,16;0,19;7,96;0,19;25,94;0,56;0,21;3,23;0,38;38,64;0,74;0;43,77;4,66;0,59;0;0;0,23;0;0;0;5,49;93;453;126;135;39;17;70;53;83;17;87;135;53;126;162;261;222;144;74;0;0;0;0;1;99;0
271;5.2.1.004;Smalec;0;3682;880;0,5;0;0;0;99,5;0;0;1;1;0;1;0;0,1;0,04;0;0;0;0;0;0;1,2;0,019;0;0;0,18;0;0;0;0;0;0;0,04;0,04;1,2;0,05;26,21;0,27;18,58;0,14;46,54;0;0;1,87;0,15;40;0,46;0;42,48;6,02;0,29;0;0;0,07;0;0;0;6,52;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0
272;5.3.1.001;Finea Mix, niskot³uszczowa;0;2230;533;39,1;0,3;0,3;0;60;0,3;0,3;326;4;11;10;2;0,1;0,06;0,01;0,01;55;51;26;7,5;10;0,002;0,008;0,02;0;0;0;0;0,02;0,01;0,02;0,04;0,13;0,32;0,02;6,2;0,03;3,45;0,17;10,57;0,01;0;0,06;0;32,63;0,32;0,15;33,18;6,47;2,07;0;0;0;0;0;0;8,54;38;18;30;28;8;3;16;15;13;4;22;10;9;10;24;70;2;11;6;0;0,3;0;0;0;100;0
273;5.3.1.002;Mase³ko zakopiañskie;0;2399;573;34;0,9;0,9;0;64;0,9;0,2;5;13;10;10;1;0,1;0,06;0,01;0;616;568;286;0,48;6,97;0,01;0,03;0,03;0,01;2;0;0;0;0;0,48;1,33;1,92;6,98;0,96;18,88;0,65;5,45;0,14;36,79;1,28;0;1,54;0;16,95;0,48;0,1;20,35;1,62;1,04;0;0;0;0;0;0;2,66;187;46;78;73;22;7;40;39;36;12;60;28;22;28;63;181;16;84;63;0;0,9;0;0;1;98;1
274;5.3.1.003;Mlemix zambrowski;0;2399;573;34;0,9;0,9;0;64;0,9;0,2;5;12;10;10;1;0,1;0,06;0,01;0;579;534;269;0,53;7,86;0,01;0,028;0,03;0,01;2;0;0;0,2;0,25;0,43;1,18;1,65;5,25;0,78;14,7;0,62;5,33;0,17;30,56;0,64;0;1,18;0;17,83;0,55;0;20,2;7,56;0,99;0;0;0;0;0;0;8,55;176;46;78;73;22;8;41;39;37;12;60;28;22;28;63;182;16;84;63;0;0,8;0;0;1;98;1
275;6.1.1.001;M¹ka pszenna, typ 500;0;1430;342;14,5;9,2;0;9,2;1,2;74,9;0,2;2;110;18;67;10;1,1;0,56;0,08;0,25;0;0;0;0;0,4;0,102;0,051;0,39;0,02;54;0;0;0;0;0;0;0;0;0;0,15;0;0,01;0,01;0,17;0;0;0;0;0,12;0;0;0,12;0,48;0,03;0;0;0;0;0;0;0,51;0;290;630;216;162;341;460;133;241;67;358;350;223;260;307;3252;319;1172;420;0,2;0;72;2,6;11;3;86
276;6.1.1.002;M¹ka pszenna, typ 500, wzbogacona;0;1430;342;14,5;9,2;0;9,2;1,2;74,9;0,2;2;110;68;67;10;1,1;0,56;0,08;0,25;0;0;0;0;0,4;0,6;0,3;3,9;0,02;54;0;0;0;0;0;0;0;0;0;0,15;0;0,01;0,01;0,17;0;0;0;0;0,12;0;0;0,12;0,48;0,03;0;0;0;0;0;0;0,51;0;290;630;216;162;341;460;133;241;67;358;350;223;260;307;3252;319;1172;420;0,2;0;72;2,6;11;3;86
277;6.1.1.003;M¹ka pszenna, typ 550;0;1436;343;14,5;9,4;0;9,4;1,6;74,1;0,4;2;136;19;92;19;1,3;0,91;0,12;0,4;0;0;0;0;0,4;0,161;0,06;0,59;0,06;56;0;0;0;0;0;0;0;0;0;0,2;0;0,01;0;0,21;0;0;0;0;0,15;0;0;0,15;0,58;0,04;0;0;0;0;0;0;0,62;0;408;664;222;186;278;467;293;275;84;470;429;211;333;481;2827;289;1034;450;0,5;0;69,8;2,5;11;4;85
278;6.1.1.004;M¹ka pszenna, typ 750;0;1381;330;14,5;9,1;0;9,1;1,8;73,8;0,8;3;165;20;122;31;1,6;1,36;0,15;0,62;0;0;0;0;0,74;0,313;0,081;1,11;0,17;64;0;0;0;0;0;0;0;0;0;0,22;0;0,01;0,01;0,24;0;0;0,01;0;0,18;0;0;0,19;0,74;0,05;0;0;0;0;0;0;0,79;0;387;617;204;176;255;422;275;280;84;480;393;180;353;493;2631;431;987;453;0,5;0;67,6;5,6;11;5;84
279;6.1.1.005;M¹ka pszenna, typ 1850;0;1348;322;14,5;11,3;0;11,3;2,3;70,6;1,3;3;340;34;295;98;3,5;3,05;0,33;2,4;0;0;0;0;1,3;0,431;0,095;3,31;0,31;109;0;0;0;0;0;0;0;0;0;0,28;0;0,02;0,01;0,31;0;0;0,01;0;0,24;0,01;0;0,26;0,92;0,06;0;0;0;0;0;0;0,98;0;475;771;291;228;316;516;337;370;119;612;537;244;440;686;3072;502;1172;613;0,5;0;61,6;7,6;14;6;80
280;6.1.1.006;M¹ka pszenna, typ 2000;0;1325;317;14,5;11,1;0;11,1;2,4;70,5;1,5;4;340;37;330;120;3,8;3,49;0,37;2,65;0;0;0;0;1,49;0,423;0,11;3,27;0,28;145;0;0;0;0;0;0;0;0;0;0,32;0;0,02;0,01;0,35;0;0;0,01;0;0,26;0,01;0;0,28;1,03;0,07;0;0;0;0;0;0;1,1;0;467;757;325;225;316;507;332;367;122;601;568;282;420;694;2930;465;1108;614;0,5;0;56,8;8,9;14;7;79
281;6.1.1.007;M¹ka ¿ytnia, typ 580;0;1368;327;14,5;5,5;0;5,5;1,5;78,1;0,4;2;155;19;91;21;1,1;1,04;0,09;0,7;0;0;0;0;0,12;0,216;0,066;0,6;0,1;23;0;0;0;0;0;0;0;0;0;0,19;0;0,01;0;0,2;0;0;0;0;0,14;0,01;0;0,15;0,57;0,09;0;0;0;0;0;0;0,66;0;211;300;192;105;159;320;193;206;47;290;334;155;183;428;1398;171;548;260;2,5;0;68,4;6,4;7;4;89
282;6.1.1.008;M¹ka ¿ytnia, typ 720;0;1370;327;14,5;5,9;0;5,9;1,7;77,4;0,5;2;190;21;113;29;1,4;1,5;0,17;1,24;0;0;0;0;0,5;0,236;0,1;0,65;0,14;49;0;0;0;0;0;0;0;0;0;0,22;0;0,01;0;0,23;0;0;0,01;0;0,16;0,01;0;0,18;0,61;0,1;0;0;0;0;0;0;0,71;0;301;351;204;124;165;318;198;202;52;315;310;147;240;450;1447;219;584;274;2,5;0;65;6,4;7;5;88
283;6.1.1.009;M¹ka ¿ytnia, typ 1400;0;1358;325;14,5;7;0;7;2,2;75,4;0,9;2;313;32;224;63;2,5;3,1;0,25;3,56;0;0;0;0;0,97;0,261;0,13;0,83;0,24;69;0;0;0;0;0;0;0;0;0;0,28;0;0,01;0;0,29;0;0;0,01;0;0,2;0,01;0;0,22;0,84;0,13;0;0;0;0;0;0;0,97;0;305;453;250;137;213;319;242;246;59;431;366;187;337;604;1550;331;671;299;2,5;0;58,9;7,3;9;6;85
284;6.1.1.010;M¹ka ¿ytnia, typ 1850;0;1345;321;14,5;7,3;0;7,3;2,2;75;1;3;361;33;258;76;3,1;3,7;0,33;4,12;0;0;0;0;1,06;0,291;0,148;0,92;0,21;79;0;0;0;0;0;0;0;0;0;0,28;0;0,01;0;0,29;0;0;0,01;0;0,2;0,01;0;0,22;0,84;0,13;0;0;0;0;0;0;0,97;0;318;473;261;142;222;332;253;256;62;448;382;195;351;630;1617;345;700;311;2,5;0;57,3;8;9;6;85
285;6.1.1.011;M¹ka ¿ytnia, typ 2000;0;1333;319;14,5;7,9;0;7,9;2,2;74,2;1,2;3;420;37;302;89;3,4;3,84;0,35;4,24;0;0;0;0;1,17;0,326;0,156;0,93;0,3;82;0;0;0;0;0;0;0;0;0;0,3;0;0,01;0;0,31;0;0;0,01;0;0,22;0,01;0;0,24;0,9;0,14;0;0;0;0;0;0;1,04;0;343;512;282;154;240;360;274;278;66;486;414;211;380;682;1751;374;757;336;2,5;0;48,8;8,5;10;6;84
286;6.1.1.012;Semolina;0;1447;346;13,2;10,1;0;10,1;1,3;75;0,4;1;170;18;110;32;1;0,6;0,15;0,6;0;0;0;0;0,1;0,11;0,04;0,7;0,09;42;0;0;0;0;0;0;0;0;0;0,13;0;0,01;0;0,14;0;0;0;0;0,17;0,01;0;0,18;0,49;0,05;0;0;0;0;0;0;0,54;0;408;726;223;145;155;523;223;261;116;494;254;223;319;697;3485;368;1336;145;0,1;0;71,7;2,8;12;3;85
287;6.1.1.013;Skrobia kukurydziana;0;1479;353;11,2;0,2;0;0,2;0;88,5;0,1;2;7;11;14;3;0,2;0,07;0,01;0,01;0;0;0;0;0;0,02;0,013;0,02;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;21;6;4;3;11;8;8;1;10;9;6;16;13;40;8;19;8;0;0;85,9;1,7;0;0;100
288;6.1.1.014;Ziarno pszenicy;0;1325;317;14,5;11,1;0;11,1;2,4;70,5;1,5;4;340;37;330;120;3,8;3,49;0,37;2,65;0;0;0;0;1,49;0,423;0,11;3,27;0,28;145;0;0;0;0;0;0;0;0;0;0,32;0;0,02;0,01;0,35;0;0;0,01;0;0,26;0,01;0;0,28;1,03;0,07;0;0;0;0;0;0;1,1;0;467;757;325;225;316;507;332;367;122;601;568;282;420;694;2930;465;1108;614;0,5;0;56,8;8,9;14;7;79
289;6.1.1.015;Ziarno ¿yta;0;1333;319;14,5;7,9;0;7,9;2,2;74,2;1,2;3;420;37;302;89;3,4;3,84;0,35;4,24;0;0;0;0;1,17;0,363;0,154;1;0,27;113;0;0;0;0;0;0;0;0;0;0,3;0;0,01;0;0,31;0;0;0,01;0;0,22;0,01;0;0,24;0,9;0,14;0;0;0;0;0;0;1,04;0;343;512;282;154;240;360;274;278;66;486;414;211;380;682;1751;374;757;336;2,5;0;48,8;8,5;10;6;84
290;6.2.1.001;Kasza gryczana;0;1407;336;13;12,6;0;12,6;3,1;69,3;2;5;443;25;459;218;2,8;3,5;0,41;2,04;0;0;0;0;0,31;0,541;0,127;1,95;0,67;32;0;0;0;0;0;0;0;0,01;0;0,46;0;0,06;0,05;0,58;0;0;0;0;1,03;0;0;1,03;0,95;0,15;0;0;0;0;0;0;1,1;0;616;926;754;253;305;503;358;477;191;685;1719;271;471;1240;1956;747;458;670;0,7;0;60,5;5,9;15;8;77
291;6.2.1.002;Kasza jaglana;0;1449;346;14;10,5;0;10,5;2,9;71,6;1;5;220;10;240;100;4,8;3,4;0,78;1,61;0;0;0;0;0,1;0,73;0,38;2,3;0,75;30;0;0;0;0;0;0;0;0;0;0,48;0;0,11;0,01;0,6;0;0;0,01;0;0,59;0;0;0,6;1,19;0,09;0;0;0;0;0;0;1,28;0;435;1002;293;253;202;506;344;354;137;526;496;223;708;749;2632;364;779;496;0,1;0;55;3,2;12;7;81
292;6.2.1.003;Kasza jêczmienna per³owa;0;1368;327;15;6,9;0;6,9;2,2;75;0,9;4;264;20;206;45;1,6;0,92;0,18;0,75;0;0;0;0;0,22;0,186;0,089;3;0,24;20;0;0;0;0;0;0;0;0;0;0,37;0;0,01;0;0,38;0;0;0;0;0,19;0;0;0,19;0,91;0,1;0;0;0;0;0;0;1,01;0;285;490;203;126;180;321;205;305;86;349;295;142;273;436;1773;275;820;335;0,5;0;67,5;6,2;9;6;85
293;6.2.1.004;Kasza jêczmienna, pêczak;0;1398;334;13,6;8,4;0;8,4;2;74,9;1,1;5;228;20;181;45;1,9;0,92;0,18;0,75;0;0;0;0;0,47;0,135;0,04;2,19;0,24;19;0;0;0;0;0;0;0;0;0;0,34;0;0,01;0;0,35;0;0;0;0;0,17;0;0;0,17;0,83;0,09;0;0;0;0;0;0;0,92;0;337;592;250;147;233;435;325;283;119;461;310;174;313;440;2341;317;944;380;0,5;0;68,2;5,4;10;5;85
294;6.2.1.005;Kasza manna;0;1457;348;13;8,7;0;8,7;1,3;76,7;0,3;3;116;17;93;18;0,9;0,85;0,1;0,36;0;0;0;0;0,1;0,113;0,028;0,74;0,07;23;0;0;0;0;0;0;0;0;0;0,16;0;0,01;0,01;0,18;0;0;0;0;0,13;0;0;0,13;0,52;0,04;0;0;0;0;0;0;0,56;0;352;572;246;171;238;384;250;279;402;455;429;213;317;525;2214;352;837;464;0,1;0;74;2,5;10;3;87
295;6.2.1.006;Ry¿ bia³y;0;1440;344;13;6,7;0;6,7;0,7;78,9;0,7;6;111;10;135;13;0,8;1,73;0,17;1,01;0;0;0;0;0,33;0,052;0,027;0,82;0,17;29;0;0;0;0;0;0;0;0;0;0,14;0;0,01;0;0,15;0;0;0;0;0,18;0;0;0,18;0,25;0,01;0;0;0;0;0;0;0,26;0;340;525;204;199;158;332;345;238;96;422;480;162;362;578;1297;302;310;351;0,2;0;74,1;2,4;8;2;90
296;6.2.1.007;Ry¿ br¹zowy;0;1349;322;13;7,1;0;7,1;1,9;76,8;1,2;10;260;32;250;110;1,3;1,5;0,18;2,4;0;0;0;0;0,7;0,48;0,05;4,7;0,49;53;0;0;0;0;0;0;0;0,02;0;0,42;0;0,04;0,01;0,49;0;0;0;0;0,52;0;0;0,52;0,72;0,02;0;0;0;0;0;0;0,74;0;333;590;279;182;118;397;215;257;107;504;579;166;451;687;1160;343;343;386;0,8;0;67;8,7;9;5;86
297;6.3.1.001;Makaron bezjajeczny;0;1518;363;9,5;10;0;10;1,6;78,5;0,4;2;149;20;100;22;1,3;0,91;0,13;0,46;0;0;0;0;0,38;0,162;0,06;0,64;0,07;39,9;0;0;0;0;0;0;0;0;0;0,2;0;0,01;0;0,21;0;0;0;0;0,16;0;0;0,16;0,6;0,04;0;0;0;0;0;0;0,64;0;429;708;234;189;273;500;297;288;94;498;424;224;348;540;3077;316;1135;425;0,4;0;74,1;2,7;11;4;85
298;6.3.1.002;Makaron bezjajeczny z semoliny;0;1533;366;8,1;10,7;0;10,7;1,4;79,4;0,4;1;180;19;116;34;1,1;0,64;0,16;0,64;0;0;0;0;0,11;0,116;0,042;0,74;0,1;31,1;0;0;0;0;0;0;0;0;0;0,14;0;0,01;0;0,15;0;0;0;0;0,18;0,01;0;0,19;0,52;0,05;0;0;0;0;0;0;0,57;0;433;769;236;153;164;554;236;276;123;524;269;236;338;738;3692;389;1415;153;0,1;0;75,9;3;12;3;85
299;6.3.1.003;Makaron dwujajeczny;0;1562;373;8;11,5;1,4;10,1;2,6;77,4;0,5;17;173;24;127;21;1,6;1,15;0,13;0,43;29;29;1;0,18;0,34;0,147;0,111;0,68;0,09;39,2;0,17;0;0;0;0;0;0;0;0;0,46;0;0,05;0;0,51;0;0;0,02;0;0,61;0,01;0;0,64;0,63;0,05;0;0;0;0;0;0;0,68;39;504;838;317;218;255;590;323;343;124;596;438;257;419;729;3462;388;1285;413;0,3;0;73,4;2,7;13;6;81
300;6.3.1.004;Makaron czterojajeczny;0;1578;377;7,8;12;2,3;9,7;3,4;76,2;0,6;28;187;29;145;29;1,7;1,17;0,16;0,53;51;51;2;0,32;0,4;0,155;0,169;0,69;0,1;44,8;0,3;0;0;0;0;0;0;0,01;0;0,67;0;0,07;0;0,75;0;0;0,04;0;0,94;0,01;0;0,99;0,7;0,05;0;0;0;0;0;0;0,75;68;540;886;363;241;267;620;349;374;134;638;479;269;457;781;3456;406;1273;468;0,3;0;73;2,8;13;8;79
301;6.3.1.005;Makaron dwujajeczny z semoliny;0;1564;374;7,4;11,9;1,4;10,5;2,4;77,8;0,5;16;191;24;136;34;1,3;0,81;0,16;0,63;29;29;1;0,18;0,18;0,121;0,1;0,73;0,1;35,4;0,17;0;0;0;0;0;0;0;0;0,42;0;0,05;0;0,47;0;0;0,02;0;0,62;0,01;0;0,66;0,58;0,05;0;0;0;0;0;0;0,64;39;506;873;318;197;192;622;288;337;141;610;349;264;412;844;3815;431;1447;255;0,1;0;74,4;2,9;13;6;81
302;6.4.1.001;Chleb ¿ytni pe³noziarnisty;0;993;237;35,4;6,7;1,1;5,6;1,8;53,9;2,2;454;356;66;245;71;2,5;2,86;0,26;3,01;0;0;0;0;0,89;0,212;0,172;0,82;0,17;44,8;0,07;0;0;0;0;0;0;0;0;0,23;0;0,01;0;0,25;0;0;0,01;0;0,28;0,01;0;0,3;0,69;0,12;0;0;0;0;0;0;0,81;1;296;463;290;136;179;307;249;248;63;409;332;181;315;564;1452;289;629;300;1,8;1,4;34,4;6,1;11;7;82
303;6.4.1.002;Chleb ¿ytni jasny;0;1007;241;36,1;4;0;4;1,3;57,1;1,5;455;115;14;68;19;0,8;0,77;0,07;0,52;0;0;0;0;0,15;0,128;0,052;0,47;0,06;11;0;0;0;0;0;0;0;0;0;0,15;0;0,01;0;0,16;0;0;0;0;0,22;0,01;0;0,24;0,47;0,08;0;0;0;0;0;0;0,55;0;154;219;141;76;115;233;141;150;35;211;243;112;135;313;1012;125;396;189;1,8;0;49,9;4,7;7;5;88
